freq	dB(S(1,1))
5.00000000000000000E8	-1.23835745934980834E1
5.04999999999999982E8	-1.24491449757326156E1
5.09999999999999964E8	-1.25158074219530380E1
5.15000000000000036E8	-1.25835805430004743E1
5.20000000000000018E8	-1.26524835104383993E1
5.25000000000000000E8	-1.27225360785110686E1
5.29999999999999982E8	-1.27937586072362408E1
5.34999999999999964E8	-1.28661720866735352E1
5.40000000000000036E8	-1.29397981624725400E1
5.45000000000000018E8	-1.30146591627443153E1
5.50000000000000000E8	-1.30907781263668577E1
5.54999999999999982E8	-1.31681788328050864E1
5.59999999999999964E8	-1.32468858335323847E1
5.65000000000000036E8	-1.33269244851665603E1
5.70000000000000018E8	-1.34083209844314166E1
5.75000000000000000E8	-1.34911024050560280E1
5.79999999999999982E8	-1.35752967367290611E1
5.84999999999999964E8	-1.36609329262868906E1
5.90000000000000036E8	-1.37480409212140420E1
5.95000000000000018E8	-1.38366517156886548E1
6.00000000000000000E8	-1.39267973992831817E1
6.04999999999999982E8	-1.40185112085406915E1
6.09999999999999964E8	-1.41118275816150085E1
6.15000000000000036E8	-1.42067822161747603E1
6.20000000000000018E8	-1.43034121308348317E1
6.25000000000000000E8	-1.44017557303229027E1
6.29999999999999982E8	-1.45018528746897446E1
6.34999999999999964E8	-1.46037449528268248E1
6.40000000000000036E8	-1.47074749606352340E1
6.45000000000000018E8	-1.48130875841410226E1
6.50000000000000000E8	-1.49206292879835956E1
6.54999999999999982E8	-1.50301484096493088E1
6.59999999999999964E8	-1.51416952598616716E1
6.65000000000000036E8	-1.52553222296595870E1
6.70000000000000018E8	-1.53710839046123926E1
6.75000000000000000E8	-1.54890371867733845E1
6.79999999999999982E8	-1.56092414249394618E1
6.84999999999999964E8	-1.57317585538988958E1
6.90000000000000036E8	-1.58566532433498231E1
6.95000000000000018E8	-1.59839930573033162E1
7.00000000000000000E8	-1.61138486247230150E1
7.04999999999999982E8	-1.62462938224241737E1
7.09999999999999964E8	-1.63814059711072124E1
7.15000000000000036E8	-1.65192660456522100E1
7.20000000000000018E8	-1.66599589008132343E1
7.25000000000000000E8	-1.68035735135543840E1
7.29999999999999982E8	-1.69502032433717398E1
7.34999999999999964E8	-1.70999461120523089E1
7.40000000000000036E8	-1.72529051044102033E1
7.45000000000000018E8	-1.74091884917147999E1
7.50000000000000000E8	-1.75689101794777724E1
7.54999999999999982E8	-1.77321900816086186E1
7.59999999999999964E8	-1.78991545227720161E1
7.65000000000000036E8	-1.80699366711098586E1
7.70000000000000018E8	-1.82446770033422756E1
7.75000000000000000E8	-1.84235238044448435E1
7.79999999999999982E8	-1.86066337038818230E1
7.84999999999999964E8	-1.87941722504618158E1
7.90000000000000036E8	-1.89863145274546130E1
7.95000000000000018E8	-1.91832458093796165E1
8.00000000000000000E8	-1.93851622611475749E1
8.05000000000000071E8	-1.95922716794505791E1
8.09999999999999964E8	-1.98047942749937222E1
8.15000000000000036E8	-2.00229634922283806E1
8.19999999999999929E8	-2.02470268608822312E1
8.25000000000000000E8	-2.04772468698451560E1
8.30000000000000071E8	-2.07139018491908811E1
8.34999999999999964E8	-2.09572868393761746E1
8.40000000000000036E8	-2.12077144173990728E1
8.44999999999999929E8	-2.14655154372516854E1
8.50000000000000000E8	-2.17310396247024507E1
8.55000000000000071E8	-2.20046559432703370E1
8.59999999999999964E8	-2.22867526160802143E1
8.65000000000000036E8	-2.25777366449912575E1
8.69999999999999929E8	-2.28780326088033936E1
8.75000000000000000E8	-2.31880804411282604E1
8.80000000000000071E8	-2.35083317775182543E1
8.84999999999999964E8	-2.38392443099149620E1
8.90000000000000036E8	-2.41812733796078971E1
8.94999999999999929E8	-2.45348597586400752E1
9.00000000000000000E8	-2.49004121889259533E1
9.05000000000000071E8	-2.52782827370601915E1
9.09999999999999964E8	-2.56687323457449557E1
9.15000000000000036E8	-2.60718830830205572E1
9.19999999999999929E8	-2.64876524882291609E1
9.25000000000000000E8	-2.69156641058885304E1
9.30000000000000071E8	-2.73551269095928662E1
9.34999999999999964E8	-2.78046751817214455E1
9.40000000000000036E8	-2.82621602712205267E1
9.44999999999999929E8	-2.87243879539044800E1
9.50000000000000000E8	-2.91868024062377529E1
9.55000000000000071E8	-2.96431339816906991E1
9.59999999999999964E8	-3.00850578501416699E1
9.65000000000000036E8	-3.05019573321590176E1
9.69999999999999929E8	-3.08809445739395461E1
9.75000000000000000E8	-3.12073382848824732E1
9.80000000000000071E8	-3.14657821467318799E1
9.84999999999999964E8	-3.16420423840330578E1
9.90000000000000036E8	-3.17252276737997274E1
9.94999999999999929E8	-3.17098377081463711E1
1.00000000000000000E9	-3.15969108314996827E1
1.00500000000000012E9	-3.13938016377573303E1
1.01000000000000001E9	-3.11126824981769667E1
1.01500000000000012E9	-3.07683630959335197E1
1.02000000000000002E9	-3.03761525496910600E1
1.02499999999999991E9	-2.99502617671055527E1
1.03000000000000003E9	-2.95028982486185143E1
1.03499999999999992E9	-2.90439528148624682E1
1.04000000000000004E9	-2.85810787750947437E1
1.04499999999999993E9	-2.81199746441344089E1
1.05000000000000004E9	-2.76647364054692524E1
1.05500000000000016E9	-2.72182018048628471E1
1.06000000000000005E9	-2.67822506398850058E1
1.06499999999999995E9	-2.63580501233713171E1
1.06999999999999984E9	-2.59462473172311192E1
1.07499999999999996E9	-2.55471160173646394E1
1.08000000000000007E9	-2.51606667983203280E1
1.08499999999999996E9	-2.47867283604297306E1
1.09000000000000008E9	-2.44250070501469008E1
1.09499999999999997E9	-2.40751300392172363E1
1.10000000000000009E9	-2.37366763966628591E1
1.10499999999999998E9	-2.34091992555804307E1
1.10999999999999988E9	-2.30922414633409234E1
1.11499999999999999E9	-2.27853464822249840E1
1.11999999999999988E9	-2.24880658404328493E1
1.12500000000000000E9	-2.21999640868663883E1
1.13000000000000012E9	-2.19206219470594599E1
1.13500000000000001E9	-2.16496381900396262E1
1.14000000000000012E9	-2.13866305783166233E1
1.14500000000000002E9	-2.11312361722097242E1
1.14999999999999991E9	-2.08831111862940277E1
1.15500000000000003E9	-2.06419305417309884E1
1.15999999999999992E9	-2.04073872184476990E1
1.16500000000000004E9	-2.01791914825339180E1
1.16999999999999993E9	-1.99570700428350678E1
1.17500000000000004E9	-1.97407651749419744E1
1.18000000000000016E9	-1.95300338398459772E1
1.18500000000000005E9	-1.93246468157223861E1
1.18999999999999995E9	-1.91243878554485569E1
1.19499999999999984E9	-1.89290528780276412E1
1.19999999999999996E9	-1.87384491988251622E1
1.20500000000000007E9	-1.85523948011885809E1
1.20999999999999996E9	-1.83707176505092273E1
1.21500000000000008E9	-1.81932550504847024E1
1.21999999999999997E9	-1.80198530406911206E1
1.22500000000000009E9	-1.78503658339173010E1
1.22999999999999998E9	-1.76846552914989141E1
1.23499999999999988E9	-1.75225904346073813E1
1.23999999999999999E9	-1.73640469894637417E1
