freq	dB(S(2,3))
5.00000000000000000E8	-1.12910386421306552E1
5.04999999999999982E8	-1.13853856747207738E1
5.09999999999999964E8	-1.14803132658570162E1
5.15000000000000036E8	-1.15758475545539330E1
5.20000000000000018E8	-1.16720150897074992E1
5.25000000000000000E8	-1.17688428465925399E1
5.29999999999999982E8	-1.18663582446488358E1
5.34999999999999964E8	-1.19645891665798842E1
5.40000000000000036E8	-1.20635639787830717E1
5.45000000000000018E8	-1.21633115531508884E1
5.50000000000000000E8	-1.22638612902681965E1
5.54999999999999982E8	-1.23652431440475508E1
5.59999999999999964E8	-1.24674876478527352E1
5.65000000000000036E8	-1.25706259421545941E1
5.70000000000000018E8	-1.26746898037727207E1
5.75000000000000000E8	-1.27797116767694363E1
5.79999999999999982E8	-1.28857247050605572E1
5.84999999999999964E8	-1.29927627668055923E1
5.90000000000000036E8	-1.31008605106706488E1
5.95000000000000018E8	-1.32100533940322307E1
6.00000000000000000E8	-1.33203777232218235E1
6.04999999999999982E8	-1.34318706959006962E1
6.09999999999999964E8	-1.35445704456700944E1
6.15000000000000036E8	-1.36585160890233470E1
6.20000000000000018E8	-1.37737477747559289E1
6.25000000000000000E8	-1.38903067359576515E1
6.29999999999999982E8	-1.40082353447053354E1
6.34999999999999964E8	-1.41275771695996433E1
6.40000000000000036E8	-1.42483770362798068E1
6.45000000000000018E8	-1.43706810910689264E1
6.50000000000000000E8	-1.44945368678888031E1
6.54999999999999982E8	-1.46199933586042530E1
6.59999999999999964E8	-1.47471010869634545E1
6.65000000000000036E8	-1.48759121862753219E1
6.70000000000000018E8	-1.50064804809963004E1
6.75000000000000000E8	-1.51388615723819409E1
6.79999999999999982E8	-1.52731129283453071E1
6.84999999999999964E8	-1.54092939776743765E1
6.90000000000000036E8	-1.55474662087324300E1
6.95000000000000018E8	-1.56876932727362628E1
7.00000000000000000E8	-1.58300410917241652E1
7.04999999999999982E8	-1.59745779712127645E1
7.09999999999999964E8	-1.61213747175779143E1
7.15000000000000036E8	-1.62705047600695951E1
7.20000000000000018E8	-1.64220442773170694E1
7.25000000000000000E8	-1.65760723280758415E1
7.29999999999999982E8	-1.67326709858438383E1
7.34999999999999964E8	-1.68919254767974247E1
7.40000000000000036E8	-1.70539243203181323E1
7.45000000000000018E8	-1.72187594710855807E1
7.50000000000000000E8	-1.73865264614729997E1
7.54999999999999982E8	-1.75573245424821289E1
7.59999999999999964E8	-1.77312568210785360E1
7.65000000000000036E8	-1.79084303910809095E1
7.70000000000000018E8	-1.80889564540948267E1
7.75000000000000000E8	-1.82729504259530739E1
7.79999999999999982E8	-1.84605320230895420E1
7.84999999999999964E8	-1.86518253216887686E1
7.90000000000000036E8	-1.88469587808167915E1
7.95000000000000018E8	-1.90460652184223855E1
8.00000000000000000E8	-1.92492817264287419E1
8.05000000000000071E8	-1.94567495076946217E1
8.09999999999999964E8	-1.96686136133911349E1
8.15000000000000036E8	-1.98850225541709014E1
8.19999999999999929E8	-2.01061277518771320E1
8.25000000000000000E8	-2.03320827905746970E1
8.30000000000000071E8	-2.05630424155891323E1
8.34999999999999964E8	-2.07991612168129114E1
8.40000000000000036E8	-2.10405919172162070E1
8.44999999999999929E8	-2.12874831684460819E1
8.50000000000000000E8	-2.15399767320794977E1
8.55000000000000071E8	-2.17982038964274327E1
8.59999999999999964E8	-2.20622809440345646E1
8.65000000000000036E8	-2.23323034428904110E1
8.69999999999999929E8	-2.26083390843185406E1
8.75000000000000000E8	-2.28904187318018826E1
8.80000000000000071E8	-2.31785252778812545E1
8.84999999999999964E8	-2.34725798322461454E1
8.90000000000000036E8	-2.37724246873919265E1
8.94999999999999929E8	-2.40778024364930454E1
9.00000000000000000E8	-2.43883305659775651E1
9.05000000000000071E8	-2.47034708367275968E1
9.09999999999999964E8	-2.50224928409179892E1
9.15000000000000036E8	-2.53444313344035210E1
9.19999999999999929E8	-2.56680373786669014E1
9.25000000000000000E8	-2.59917240928856774E1
9.30000000000000071E8	-2.63135090473437616E1
9.34999999999999964E8	-2.66309571589582017E1
9.40000000000000036E8	-2.69411304647157346E1
9.44999999999999929E8	-2.72405542899273545E1
9.50000000000000000E8	-2.75252127482486930E1
9.55000000000000071E8	-2.77905893871818810E1
9.59999999999999964E8	-2.80317697079818995E1
9.65000000000000036E8	-2.82436193053646223E1
9.69999999999999929E8	-2.84210425790884313E1
9.75000000000000000E8	-2.85593115951417253E1
9.80000000000000071E8	-2.86544345514762488E1
9.84999999999999964E8	-2.87035137860977763E1
9.90000000000000036E8	-2.87050323167418941E1
9.94999999999999929E8	-2.86590127321647525E1
1.00000000000000000E9	-2.85670147659447693E1
1.00500000000000012E9	-2.84319720796546260E1
1.01000000000000001E9	-2.82579027898939605E1
1.01500000000000012E9	-2.80495503176807404E1
1.02000000000000002E9	-2.78120154489599836E1
1.02499999999999991E9	-2.75504291816998892E1
1.03000000000000003E9	-2.72696962950064803E1
1.03499999999999992E9	-2.69743195323053664E1
1.04000000000000004E9	-2.66682990977055212E1
1.04499999999999993E9	-2.63550935592585800E1
1.05000000000000004E9	-2.60376254122721207E1
1.05500000000000016E9	-2.57183155528092833E1
1.06000000000000005E9	-2.53991338216197438E1
1.06499999999999995E9	-2.50816561991927278E1
1.06999999999999984E9	-2.47671223588413802E1
1.07499999999999996E9	-2.44564897795282210E1
1.08000000000000007E9	-2.41504824308349964E1
1.08499999999999996E9	-2.38496332576221848E1
1.09000000000000008E9	-2.35543204470424694E1
1.09499999999999997E9	-2.32647978867736205E1
1.10000000000000009E9	-2.29812204313527779E1
1.10499999999999998E9	-2.27036646632296435E1
1.10999999999999988E9	-2.24321458250860317E1
1.11499999999999999E9	-2.21666315468258990E1
1.11999999999999988E9	-2.19070529187263263E1
1.12500000000000000E9	-2.16533133853253990E1
1.13000000000000012E9	-2.14052958609281818E1
1.13500000000000001E9	-2.11628684006103862E1
1.14000000000000012E9	-2.09258887021850182E1
1.14500000000000002E9	-2.06942076647825335E1
1.14999999999999991E9	-2.04676721878130508E1
1.15500000000000003E9	-2.02461273594579572E1
1.15999999999999992E9	-2.00294181554394557E1
1.16500000000000004E9	-1.98173907455134457E1
1.16999999999999993E9	-1.96098934862688390E1
1.17500000000000004E9	-1.94067776636460865E1
1.18000000000000016E9	-1.92078980360205920E1
1.18500000000000005E9	-1.90131132189828023E1
1.18999999999999995E9	-1.88222859447064339E1
1.19499999999999984E9	-1.86352832224557519E1
1.19999999999999996E9	-1.84519764215063842E1
1.20500000000000007E9	-1.82722412936112666E1
1.20999999999999996E9	-1.80959579486874778E1
1.21500000000000008E9	-1.79230107947616557E1
1.21999999999999997E9	-1.77532884509555489E1
1.22500000000000009E9	-1.75866836405394311E1
1.22999999999999998E9	-1.74230930696750308E1
1.23499999999999988E9	-1.72624172963057276E1
1.23999999999999999E9	-1.71045605926857691E1
1.24499999999999988E9	-1.69494308043967012E1
1.25000000000000000E9	-1.67969392079359925E1
1.25500000000000012E9	-1.66470003686820300E1
1.26000000000000001E9	-1.64995320004290624E1
1.26500000000000012E9	-1.63544548275506285E1
1.27000000000000002E9	-1.62116924504952098E1
1.27499999999999991E9	-1.60711712151795250E1
1.28000000000000003E9	-1.59328200865974523E1
1.28499999999999992E9	-1.57965705269511969E1
1.29000000000000004E9	-1.56623563784174391E1
1.29499999999999993E9	-1.55301137506032338E1
1.30000000000000004E9	-1.53997809127415364E1
1.30500000000000016E9	-1.52712981905118217E1
1.31000000000000005E9	-1.51446078674789342E1
1.31499999999999995E9	-1.50196540909833165E1
1.31999999999999984E9	-1.48963827823724970E1
1.32499999999999996E9	-1.47747415514688707E1
1.33000000000000007E9	-1.46546796150415259E1
1.33499999999999996E9	-1.45361477192130506E1
1.34000000000000008E9	-1.44190980655688250E1
1.34499999999999997E9	-1.43034842408676344E1
1.35000000000000009E9	-1.41892611501450139E1
1.35499999999999998E9	-1.40763849530897667E1
1.35999999999999988E9	-1.39648130035261842E1
1.36499999999999999E9	-1.38545037918588254E1
1.36999999999999988E9	-1.37454168903415952E1
1.37500000000000000E9	-1.36375129010282792E1
1.38000000000000012E9	-1.35307534062844481E1
1.38500000000000001E9	-1.34251009217410511E1
1.39000000000000012E9	-1.33205188515471207E1
1.39500000000000002E9	-1.32169714458574394E1
1.39999999999999991E9	-1.31144237604065106E1
1.40500000000000003E9	-1.30128416180879136E1
1.40999999999999992E9	-1.29121915724689384E1
1.41500000000000004E9	-1.28124408731103356E1
1.41999999999999993E9	-1.27135574326620726E1
1.42500000000000004E9	-1.26155097956079354E1
1.43000000000000016E9	-1.25182671086364761E1
1.43500000000000005E9	-1.24217990925423427E1
1.43999999999999995E9	-1.23260760156276716E1
1.44499999999999984E9	-1.22310686685156589E1
1.44999999999999996E9	-1.21367483403612919E1
1.45500000000000007E9	-1.20430867963919264E1
1.45999999999999996E9	-1.19500562567523949E1
1.46500000000000008E9	-1.18576293766151708E1
1.46999999999999997E9	-1.17657792275196926E1
1.47500000000000009E9	-1.16744792799215880E1
1.47999999999999998E9	-1.15837033869339212E1
1.48499999999999988E9	-1.14934257692292396E1
1.48999999999999999E9	-1.14036210011064498E1
1.49499999999999988E9	-1.13142639977025317E1
1.50000000000000000E9	-1.12253300033373504E1


