freq	dB(S(2,1))
5.00000000000000000E8	-3.28723855574622137E0
5.04999999999999982E8	-3.28330685570916181E0
5.09999999999999964E8	-3.27937268175434848E0
5.15000000000000036E8	-3.27543704178529715E0
5.20000000000000018E8	-3.27150094683549453E0
5.25000000000000000E8	-3.26756541082673913E0
5.29999999999999982E8	-3.26363145032595936E0
5.34999999999999964E8	-3.25970008429599911E0
5.40000000000000036E8	-3.25577233384387910E0
5.45000000000000018E8	-3.25184922196530479E0
5.50000000000000000E8	-3.24793177328486271E0
5.54999999999999982E8	-3.24402101379264618E0
5.59999999999999964E8	-3.24011797057824413E0
5.65000000000000036E8	-3.23622367156039248E0
5.70000000000000018E8	-3.23233914521359189E0
5.75000000000000000E8	-3.22846542029149486E0
5.79999999999999982E8	-3.22460352554580432E0
5.84999999999999964E8	-3.22075448944524156E0
5.90000000000000036E8	-3.21691933988609957E0
5.95000000000000018E8	-3.21309910390594577E0
6.00000000000000000E8	-3.20929480738967676E0
6.04999999999999982E8	-3.20550747477475184E0
6.09999999999999964E8	-3.20173812875447039E0
6.15000000000000036E8	-3.19798778997464073E0
6.20000000000000018E8	-3.19425747673412541E0
6.25000000000000000E8	-3.19054820467857381E0
6.29999999999999982E8	-3.18686098649162597E0
6.34999999999999964E8	-3.18319683158534250E0
6.40000000000000036E8	-3.17955674579102965E0
6.45000000000000018E8	-3.17594173104196953E0
6.50000000000000000E8	-3.17235278506035723E0
6.54999999999999982E8	-3.16879090103998085E0
6.59999999999999964E8	-3.16525706732576317E0
6.65000000000000036E8	-3.16175226709702040E0
6.70000000000000018E8	-3.15827747804243675E0
6.75000000000000000E8	-3.15483367204287823E0
6.79999999999999982E8	-3.15142181484311168E0
6.84999999999999964E8	-3.14804286573092940E0
6.90000000000000036E8	-3.14469777721216559E0
6.95000000000000018E8	-3.14138749468677858E0
7.00000000000000000E8	-3.13811295612081276E0
7.04999999999999982E8	-3.13487509172497170E0
7.09999999999999964E8	-3.13167482362708194E0
7.15000000000000036E8	-3.12851306554783148E0
7.20000000000000018E8	-3.12539072247802308E0
7.25000000000000000E8	-3.12230869035191549E0
7.29999999999999982E8	-3.11926785572776089E0
7.34999999999999964E8	-3.11626909546353570E0
7.40000000000000036E8	-3.11331327639679367E0
7.45000000000000018E8	-3.11040125502720688E0
7.50000000000000000E8	-3.10753387719609808E0
7.54999999999999982E8	-3.10471197777439878E0
7.59999999999999964E8	-3.10193638034517871E0
7.65000000000000036E8	-3.09920789689397225E0
7.70000000000000018E8	-3.09652732749998716E0
7.75000000000000000E8	-3.09389546002774463E0
7.79999999999999982E8	-3.09131306982589127E0
7.84999999999999964E8	-3.08878091942394928E0
7.90000000000000036E8	-3.08629975823554625E0
7.95000000000000018E8	-3.08387032226562674E0
8.00000000000000000E8	-3.08149333381797863E0
8.05000000000000071E8	-3.07916950121061905E0
8.09999999999999964E8	-3.07689951848954424E0
8.15000000000000036E8	-3.07468406515503556E0
8.19999999999999929E8	-3.07252380588358953E0
8.25000000000000000E8	-3.07041939026016131E0
8.30000000000000071E8	-3.06837145251529009E0
8.34999999999999964E8	-3.06638061126344441E0
8.40000000000000036E8	-3.06444746924381350E0
8.44999999999999929E8	-3.06257261308301310E0
8.50000000000000000E8	-3.06075661304175339E0
8.55000000000000071E8	-3.05900002278214300E0
8.59999999999999964E8	-3.05730337913223460E0
