freq	dB(S(1,1))
5.00000000000000000E8	-1.15668687651648017E1
5.04999999999999982E8	-1.16115827583680598E1
5.09999999999999964E8	-1.16568870405348202E1
5.15000000000000036E8	-1.17027867322824042E1
5.20000000000000018E8	-1.17492870359101365E1
5.25000000000000000E8	-1.17963932346922418E1
5.29999999999999982E8	-1.18441106920836114E1
5.34999999999999964E8	-1.18924448508318314E1
5.40000000000000036E8	-1.19414012319862706E1
5.45000000000000018E8	-1.19909854337959931E1
5.50000000000000000E8	-1.20412031304865064E1
5.54999999999999982E8	-1.20920600709043313E1
5.59999999999999964E8	-1.21435620770185770E1
5.65000000000000036E8	-1.21957150422670768E1
5.70000000000000018E8	-1.22485249297336529E1
5.75000000000000000E8	-1.23019977701422101E1
5.79999999999999982E8	-1.23561396596524586E1
5.84999999999999964E8	-1.24109567574405055E1
5.90000000000000036E8	-1.24664552830463227E1
5.95000000000000018E8	-1.25226415134692193E1
6.00000000000000000E8	-1.25795217799900017E1
6.04999999999999982E8	-1.26371024646982710E1
6.09999999999999964E8	-1.26953899967000017E1
6.15000000000000036E8	-1.27543908479804036E1
6.20000000000000018E8	-1.28141115288936991E1
6.25000000000000000E8	-1.28745585832497622E1
6.29999999999999982E8	-1.29357385829663030E1
6.34999999999999964E8	-1.29976581222506327E1
6.40000000000000036E8	-1.30603238112748388E1
6.45000000000000018E8	-1.31237422693037464E1
6.50000000000000000E8	-1.31879201172321503E1
6.54999999999999982E8	-1.32528639694854733E1
6.59999999999999964E8	-1.33185804252336948E1
6.65000000000000036E8	-1.33850760588637585E1
6.70000000000000018E8	-1.34523574096543630E1
6.75000000000000000E8	-1.35204309705893078E1
6.79999999999999982E8	-1.35893031762430394E1
6.84999999999999964E8	-1.36589803896663842E1
6.90000000000000036E8	-1.37294688881952887E1
6.95000000000000018E8	-1.38007748480984671E1
7.00000000000000000E8	-1.38729043279760522E1
7.04999999999999982E8	-1.39458632508117697E1
7.09999999999999964E8	-1.40196573845765560E1
7.15000000000000036E8	-1.40942923212728033E1
7.20000000000000018E8	-1.41697734543002674E1
7.25000000000000000E8	-1.42461059540167567E1
7.29999999999999982E8	-1.43232947413576572E1
7.34999999999999964E8	-1.44013444593676021E1
7.40000000000000036E8	-1.44802594424891962E1
7.45000000000000018E8	-1.45600436834409797E1
7.50000000000000000E8	-1.46407007975075731E1
7.54999999999999982E8	-1.47222339840510918E1
7.59999999999999964E8	-1.48046459850416579E1
7.65000000000000036E8	-1.48879390403920286E1
7.70000000000000018E8	-1.49721148398664239E1
7.75000000000000000E8	-1.50571744713215172E1
7.79999999999999982E8	-1.51431183650227186E1
7.84999999999999964E8	-1.52299462337627678E1
7.90000000000000036E8	-1.53176570084977470E1
7.95000000000000018E8	-1.54062487691984673E1
8.00000000000000000E8	-1.54957186706017658E1
8.05000000000000071E8	-1.55860628625326503E1
8.09999999999999964E8	-1.56772764044526824E1
8.15000000000000036E8	-1.57693531738808623E1
8.19999999999999929E8	-1.58622857683195484E1
8.25000000000000000E8	-1.59560654003103086E1
8.30000000000000071E8	-1.60506817852385875E1
8.34999999999999964E8	-1.61461230215016127E1
8.40000000000000036E8	-1.62423754626576899E1
8.44999999999999929E8	-1.63394235811758359E1
8.50000000000000000E8	-1.64372498234231967E1
8.55000000000000071E8	-1.65358344555423331E1
8.59999999999999964E8	-1.66351553998987756E1
8.65000000000000036E8	-1.67351880618210069E1
8.69999999999999929E8	-1.68359051464018661E1
8.75000000000000000E8	-1.69372764651970154E1
8.80000000000000071E8	-1.70392687327368830E1
8.84999999999999964E8	-1.71418453528703263E1
8.90000000000000036E8	-1.72449661950765831E1
8.94999999999999929E8	-1.73485873610340424E1
9.00000000000000000E8	-1.74526609419027601E1
9.05000000000000071E8	-1.75571347669890843E1
9.09999999999999964E8	-1.76619521446949213E1
9.15000000000000036E8	-1.77670515969355813E1
9.19999999999999929E8	-1.78723665885258010E1
9.25000000000000000E8	-1.79778252533955074E1
9.30000000000000071E8	-1.80833501199029323E1
9.34999999999999964E8	-1.81888578379691235E1
9.40000000000000036E8	-1.82942589112583742E1
9.44999999999999929E8	-1.83994574381742559E1
9.50000000000000000E8	-1.85043508660415656E1
9.55000000000000071E8	-1.86088297634625599E1
9.59999999999999964E8	-1.87127776165066639E1
9.65000000000000036E8	-1.88160706550640389E1
9.69999999999999929E8	-1.89185777163790481E1
9.75000000000000000E8	-1.90201601534395515E1
9.80000000000000071E8	-1.91206717965221773E1
