freq	dB(S(2,3))
5.00000000000000000E8	-1.07011079343587157E1
5.04999999999999982E8	-1.07782931908919322E1
5.09999999999999964E8	-1.08555927667838370E1
5.15000000000000036E8	-1.09330212586862974E1
5.20000000000000018E8	-1.10105932304429954E1
5.25000000000000000E8	-1.10883232134059995E1
5.29999999999999982E8	-1.11662257071784854E1
5.34999999999999964E8	-1.12443151807473596E1
5.40000000000000036E8	-1.13226060739718615E1
5.45000000000000018E8	-1.14011127993957317E1
5.50000000000000000E8	-1.14798497443526326E1
5.54999999999999982E8	-1.15588312733359189E1
5.59999999999999964E8	-1.16380717306051529E1
5.65000000000000036E8	-1.17175854430033466E1
5.70000000000000018E8	-1.17973867229595708E1
5.75000000000000000E8	-1.18774898716530064E1
5.79999999999999982E8	-1.19579091823149564E1
5.84999999999999964E8	-1.20386589436462499E1
5.90000000000000036E8	-1.21197534433277454E1
5.95000000000000018E8	-1.22012069716023319E1
6.00000000000000000E8	-1.22830338249067217E1
6.04999999999999982E8	-1.23652483095315890E1
6.09999999999999964E8	-1.24478647452885438E1
6.15000000000000036E8	-1.25308974691619790E1
6.20000000000000018E8	-1.26143608389236594E1
6.25000000000000000E8	-1.26982692366871874E1
6.29999999999999982E8	-1.27826370723786864E1
6.34999999999999964E8	-1.28674787870992735E1
6.40000000000000036E8	-1.29528088563534127E1
6.45000000000000018E8	-1.30386417931161724E1
6.50000000000000000E8	-1.31249921507107037E1
6.54999999999999982E8	-1.32118745254651704E1
6.59999999999999964E8	-1.32993035591167708E1
6.65000000000000036E8	-1.33872939409274161E1
6.70000000000000018E8	-1.34758604094736301E1
6.75000000000000000E8	-1.35650177540696859E1
6.79999999999999982E8	-1.36547808157796569E1
6.84999999999999964E8	-1.37451644879708157E1
6.90000000000000036E8	-1.38361837163557055E1
6.95000000000000018E8	-1.39278534984664804E1
7.00000000000000000E8	-1.40201888824991605E1
7.04999999999999982E8	-1.41132049654603331E1
7.09999999999999964E8	-1.42069168905420962E1
7.15000000000000036E8	-1.43013398436443939E1
7.20000000000000018E8	-1.43964890489558184E1
7.25000000000000000E8	-1.44923797634959795E1
7.29999999999999982E8	-1.45890272705127355E1
7.34999999999999964E8	-1.46864468716175356E1
7.40000000000000036E8	-1.47846538775309977E1
7.45000000000000018E8	-1.48836635972978537E1
7.50000000000000000E8	-1.49834913258175129E1
7.54999999999999982E8	-1.50841523295207436E1
7.59999999999999964E8	-1.51856618300070867E1
7.65000000000000036E8	-1.52880349854391295E1
7.70000000000000018E8	-1.53912868694702709E1
7.75000000000000000E8	-1.54954324474605420E1
7.79999999999999982E8	-1.56004865497115186E1
7.84999999999999964E8	-1.57064638414252333E1
7.90000000000000036E8	-1.58133787890633548E1
7.95000000000000018E8	-1.59212456227518340E1
8.00000000000000000E8	-1.60300782943423381E1
8.05000000000000071E8	-1.61398904307045044E1
8.09999999999999964E8	-1.62506952817825789E1
8.15000000000000036E8	-1.63625056629065257E1
8.19999999999999929E8	-1.64753338907994151E1
8.25000000000000000E8	-1.65891917126716204E1
8.30000000000000071E8	-1.67040902277363523E1
8.34999999999999964E8	-1.68200398004207763E1
8.40000000000000036E8	-1.69370499644823269E1
8.44999999999999929E8	-1.70551293171702900E1
8.50000000000000000E8	-1.71742854024985236E1
8.55000000000000071E8	-1.72945245826170368E1
8.59999999999999964E8	-1.74158518961864806E1
8.65000000000000036E8	-1.75382709025726702E1
8.69999999999999929E8	-1.76617835105876542E1
8.75000000000000000E8	-1.77863897904102441E1
8.80000000000000071E8	-1.79120877672235856E1
8.84999999999999964E8	-1.80388731950127768E1
8.90000000000000036E8	-1.81667393088709939E1
8.94999999999999929E8	-1.82956765540747024E1
9.00000000000000000E8	-1.84256722901064185E1
9.05000000000000071E8	-1.85567104677340344E1
9.09999999999999964E8	-1.86887712772037484E1
9.15000000000000036E8	-1.88218307655737083E1
9.19999999999999929E8	-1.89558604212185111E1
9.25000000000000000E8	-1.90908267235766838E1
9.30000000000000071E8	-1.92266906563089646E1
9.34999999999999964E8	-1.93634071821951492E1
9.40000000000000036E8	-1.95009246783401902E1
9.44999999999999929E8	-1.96391843306022063E1
9.50000000000000000E8	-1.97781194866197163E1
9.55000000000000071E8	-1.99176549674258041E1
9.59999999999999964E8	-2.00577063384210419E1
9.65000000000000036E8	-2.01981791414645029E1
9.69999999999999929E8	-2.03389680910661674E1
9.75000000000000000E8	-2.04799562391567669E1
