freq	dB(S(2,1))
5.00000000000000000E8	-3.32629090524952442E0
5.04999999999999982E8	-3.32298598920065302E0
5.09999999999999964E8	-3.31967560945831153E0
5.15000000000000036E8	-3.31636031561176914E0
5.20000000000000018E8	-3.31304065179523821E0
5.25000000000000000E8	-3.30971715768905916E0
5.29999999999999982E8	-3.30639036944956821E0
5.34999999999999964E8	-3.30306082057123973E0
5.40000000000000036E8	-3.29972904268417100E0
5.45000000000000018E8	-3.29639556629013608E0
5.50000000000000000E8	-3.29306092144011009E0
5.54999999999999982E8	-3.28972563835612730E0
5.59999999999999964E8	-3.28639024800007462E0
5.65000000000000036E8	-3.28305528259201118E0
5.70000000000000018E8	-3.27972127608044994E0
5.75000000000000000E8	-3.27638876456680839E0
5.79999999999999982E8	-3.27305828668628607E0
5.84999999999999964E8	-3.26973038394719673E0
5.90000000000000036E8	-3.26640560103064903E0
5.95000000000000018E8	-3.26308448605254098E0
6.00000000000000000E8	-3.25976759078950806E0
6.04999999999999982E8	-3.25645547087056242E0
6.09999999999999964E8	-3.25314868593595907E0
6.15000000000000036E8	-3.24984779976479654E0
6.20000000000000018E8	-3.24655338037276042E0
6.25000000000000000E8	-3.24326600008138888E0
6.29999999999999982E8	-3.23998623556009591E0
6.34999999999999964E8	-3.23671466784218786E0
6.40000000000000036E8	-3.23345188231604075E0
6.45000000000000018E8	-3.23019846869254312E0
6.50000000000000000E8	-3.22695502094983233E0
6.54999999999999982E8	-3.22372213725635293E0
6.59999999999999964E8	-3.22050041987319702E0
6.65000000000000036E8	-3.21729047503666532E0
6.70000000000000018E8	-3.21409291282189180E0
6.75000000000000000E8	-3.21090834698842453E0
6.79999999999999982E8	-3.20773739480855680E0
6.84999999999999964E8	-3.20458067687921799E0
6.90000000000000036E8	-3.20143881691822463E0
6.95000000000000018E8	-3.19831244154552241E0
7.00000000000000000E8	-3.19520218005024015E0
7.04999999999999982E8	-3.19210866414428640E0
7.09999999999999964E8	-3.18903252770300405E0
7.15000000000000036E8	-3.18597440649377273E0
7.20000000000000018E8	-3.18293493789301429E0
7.25000000000000000E8	-3.17991476059239897E0
7.29999999999999982E8	-3.17691451429474814E0
7.34999999999999964E8	-3.17393483940036347E0
7.40000000000000036E8	-3.17097637668434729E0
7.45000000000000018E8	-3.16803976696549539E0
7.50000000000000000E8	-3.16512565076739483E0
7.54999999999999982E8	-3.16223466797231945E0
7.59999999999999964E8	-3.15936745746847647E0
7.65000000000000036E8	-3.15652465679121041E0
7.70000000000000018E8	-3.15370690175876423E0
7.75000000000000000E8	-3.15091482610309948E0
7.79999999999999982E8	-3.14814906109646975E0
7.84999999999999964E8	-3.14541023517414198E0
7.90000000000000036E8	-3.14269897355405448E0
7.95000000000000018E8	-3.14001589785376467E0
8.00000000000000000E8	-3.13736162570539490E0
8.05000000000000071E8	-3.13473677036909226E0
8.09999999999999964E8	-3.13214194034552396E0
8.15000000000000036E8	-3.12957773898808345E0
8.19999999999999929E8	-3.12704476411519394E0
8.25000000000000000E8	-3.12454360762344274E0
8.30000000000000071E8	-3.12207485510198968E0
8.34999999999999964E8	-3.11963908544879720E0
8.40000000000000036E8	-3.11723687048934384E0
8.44999999999999929E8	-3.11486877459822109E0
8.50000000000000000E8	-3.11253535432424355E0
8.55000000000000071E8	-3.11023715801962197E0
8.59999999999999964E8	-3.10797472547365139E0
8.65000000000000036E8	-3.10574858755153826E0
8.69999999999999929E8	-3.10355926583886443E0
8.75000000000000000E8	-3.10140727229212398E0
8.80000000000000071E8	-3.09929310889601251E0
8.84999999999999964E8	-3.09721726732776714E0
8.90000000000000036E8	-3.09518022862929021E0
8.94999999999999929E8	-3.09318246288727794E0
9.00000000000000000E8	-3.09122442892214355E0
